Model,NN Consistency Avg,Intra-class Distance,Inter-class Distance,Separation Gap
resnet101,0.7,0.5518476366996765,0.803065299987793,0.25121766328811646
googlenet,0.6,0.3330115079879761,0.49461519718170166,0.16160368919372559
zfnet,0.38,0.027392150834202766,0.03422916308045387,0.006837012246251106
